Title,Author,Date,Excerpt
"Yam, rice, garri prices surge by 200% under Emefiele",,"Jun 13, 2023",Despite the disbursement of N1.09 trillion in eight years by the Central Bank of Nigeria (CBN) to boost staple foods...
"Consumer goods firms grapple income tax amid FX, liquidity crunch",,"Jun 13, 2023",Nigeria’s biggest consumer goods firms paid N33.92 billion in income tax in the first three months of 2023 despite facing...
Nigeria Eurobonds jump as Emefiele ouster marks end to multiple FX rates,,"Jun 12, 2023",Nigerian Eurobonds jumped on Monday as foreign investors interpreted the suspension of central bank governor Godwin Emefiele as the end...
Nigeria earned N5trn from oil sales in first quarter of 2023,,"Jun 12, 2023","Nigeria recorded N5.14 trillion from crude oil sales in the first three months of 2023, from N4.9 trillion realised over..."
Full text of Democracy Day broadcast by President Bola Tinubu,,"Jun 12, 2023","TEXT OF DEMOCRACY DAY NATIONAL BROADCAST BY PRESIDENT BOLA AHMED TINUBU ON JUNE 12, 2023. Fellow Nigerians, 2. It is..."
Tinubu promises to replace subsidy with social amenities in Democracy Day broadcast,,"Jun 12, 2023",President Bola Tinubu has promised to replace the subsidy recently removed from fuel with social amenities that will make life...
New electricity act game-changer for renewable energy,,"Jun 12, 2023","The new Electricity Act 2003 signed into law by President Bola Tinubu, will for the first time allow providers of..."
"Naira, stocks cool after Tinubu rally",,"Jun 12, 2023","The record gains across Nigeria’s major financial markets – majorly foreign exchange (FX) and stocks, is cooling off as investors..."
5 ways Africa can unlock inter-regional trade benefits,,"Jun 12, 2023","High intra-African trade is a key driver for growth and development in the continent, according to the African Union (AU)...."
House of Rep Chairman asked for 5% shares of Nigeria Air - Sirika,,"Jun 11, 2023","Hadi Sirika, the former minister of aviation has alleged that Nnolim Nnaji, Chairman of the House Committee on Aviation asked..."
Economy: Low hanging fruits for Tinubu to raise N100trn - Agbakoba,,"Jun 11, 2023","Olisa Agbakoba, a former president of the Nigerian Bar Association (NBA) and maritime lawyer, has said that the newly inaugurated..."
ICYMI: The N85bn fraud: How Hadi Sirika conned Nigerians,,"Jun 11, 2023","The hopes of many Nigerians were dashed few hours after Hadi Sirika, the former minister of aviation had made a..."
Many Nigerians ready to checkout now as economy bites harder,,"Jun 11, 2023","Many doubted the Nigerian Medical Association (NMA) when it raised the alarm that as of October 2022, there were only..."
"Video: DSS confirms arrest of suspended CBN governor, Emefiele",,"Jun 10, 2023","The Department of State Services (DSS) have confirmed that Godwin Emefiele, the suspended Governor of the Central Bank of Nigeria..."
The rise and fall of CBN governor Emefiele,,"Jun 10, 2023","The latest twist in the tale of Nigeria’s all-powerful Central Bank Governor, Godwin Emefiele, is his suspension by President Bola..."
Tinubu suspends Emefiele as CBN governor,,"Jun 09, 2023","Bola Tinubu, Nigeria’s president has suspended Godwin Emefiele, governor of Central Bank of Nigeria (CBN) from office with immediate effect...."
Nigeria nears hub status as FG acquires Africa’s largest tugboats for Lekki Port,,"Jun 09, 2023",Nigerian seaport is seriously positioning itself to become the hub for the West African region using the newly built $1.5...
Tinubu assents landmark electricity bill,,"Jun 09, 2023","President Bola Tinubu has assented to the electricity bill, which was passed in July 2022 seeking to repeal the Electricity..."
Subsidy removal buys breathing space for debt-ridden Nigeria,,"Jun 09, 2023",Nigeria has one less reason to grow its ballooning debt stock after last week’s move to abandon costly petrol subsidies...
"Gold export hits N78bn, highest on record",,"Jun 09, 2023","Africa’s biggest economy has exported gold worth N78.9 billion within the last 15 months, a first-time trend in Nigeria’s export..."
"Cabinet: Intense lobbying, as politicians besiege Aso Rock",,"Jun 08, 2023","President Bola Tinubu on Thursday met with former Governor Nyesom Wike led “ Integrity Group, also know as “G5 Governors”,..."
"IPMAN projects lower petrol price with private investment influx, CNG",,"Jun 08, 2023",The Independent Petroleum Marketers Association of Nigeria (IPMAN) has said that the price of Premium Motor Spirit (PMS) also known...
Nigeria’s young adults' optimistic tech offers edge to outperform parents,,"Jun 08, 2023","Erastus Jesutofunmi, a 24-year-old product designer, believes that technology has given him an edge to outperform his parents. Over two..."
Gas-powered vehicles now cost-effective as fuel subsidy ends,,"Jun 08, 2023","Switching to gas-powered vehicles can cushion the impact of petrol subsidy removal as it offers a cleaner, safer, and more..."
Nigerian banks' dollar earnings under pressure as investments shrink,,"Jun 08, 2023","The juicy foreign exchange earnings of Nigerian banks have come under intense pressure due to low dollar economic activities, BusinessDay’s..."
Companies mull hybrid work on petrol price hike,,"Jun 07, 2023","Akpan Richard, a 33-year-old employee of a public relations company, woke up on Thursday, 1 June, unwilling to go to..."
House of Reps declares Nigeria Air launch fraudulent,,"Jun 06, 2023","The House of Representatives has faulted the Nigeria Air purported launch of May 26, 2023 stating that Hadi Sirika, the..."
Petrol market in confusion as NNPC gives up sole supplier role,,"Jun 06, 2023",The oil marketers who promptly hiked petrol prices as soon as President Bola Tinubu said ‘subsidy is gone’ on May...
Explainer: How Tinubu’s men crushed NLC and the call for strike action,,"Jun 06, 2023","It was always going to be the first real test for the new president Bola Tinubu. He had, without fanfare..."
Two Indian brothers wanted at home are living big in Nigeria,,"Jun 06, 2023","At a ceremony in November, the Nigerian government celebrated the discovery of as many as 1 billion barrels of oil..."
"NLC, TUC suspend strike, demand fixing refineries, others",,"Jun 06, 2023",The Nigerian Labour Congress and the Trade Union Congress have agreed to suspend the planned nationwide strike scheduled to begin...
"Airlines' $812m trapped funds increase pressure on FX, external reserves",,"Jun 06, 2023",Already pressured external reserves and foreign exchange (FX) are expected to worsen as Nigeria owes Airlines as much as $812.2...
Instalmental payment for solar gains traction,,"Jun 06, 2023","Solar power is gaining momentum in Nigeria, buoyed by unreliable public electricity supply and the recent fuel subsidy removal which..."
Subsidy: FG gets court order to stop labour unions' strike,,"Jun 05, 2023",The Federal government has sued the Nigerian Labour Congress (NLC) to court and banned it from carrying out its planned...
Nigeria agrees with OPEC to cut oil production by 2024,,"Jun 05, 2023",Nigeria alongside other members of the Oganisation of Petroleum Exporting Countries (OPEC) and Non-OPEC members at the Joint Ministerial Management...
Nigeria's 2023 budget at risk as OPEC caps oil output at 1.38mbpd,,"Jun 05, 2023","The Organization of Petroleum Exporting Countries (OPEC) and its allies, on Sunday, agreed to cut global oil production by 1.393..."
"Subsidy: TUC seeks minimum wage review, tax reliefs, others",,"Jun 05, 2023",The federal government on Sunday continued its dialogue with the leadership of the organised Labour in a bid to halt...
"Tinubu meets labour, lawmakers over planned strike",,"Jun 04, 2023",President Bola Tinubu is currently leading delegation of the federal government to meet with members of the organised Labour over...
Explainer: Who collected over N11 trillion Buhari spent on petrol subsidy?,,"Jun 04, 2023","The Nigerian Labour Congress and the Trade Union Congress, are calling on members to embark on a nationwide strike on..."
"NNPC to end oil swap contracts, embrace cash payments for petrol imports",,"Jun 04, 2023",The Nigerian National Petroleum Company Limited (NNPC) is winding down crude oil swap contracts with traders and will pay cash...
How improper planning impaired FG's decision to end petrol subsidy,,"Jun 04, 2023","In his inauguration speech on May 29, 2023, Nigeria’s new President, Bola Ahmed Tinubu stunned the nation when he announced..."
Nigerians share experience as petrol price hike enters day six,,"Jun 04, 2023","After the inauguration speech of President Bola Ahmed Tinubu in which he said “Fuel subsidy is gone,” the Nigerian National..."
Multiple Customs queries hamper port clearance,,"Jun 03, 2023",Cargo clearing at the nation’s seaports has suffered setbacks as different units of the Nigeria Customs Service now issue indiscriminate...
How govt agencies got N112bn for projects outside their mandate,,"Jun 03, 2023","A new report by BudgIT, a civic organisation focused on making the Nigerian budget and public data more comprehensible and..."
"Tinubu promises review of minimum wage, meets APC governors",,"Jun 02, 2023","President Bola Ahmed Tinubu Friday in Abuja said improved livelihood for Nigerians remains a top priority of his administration, with..."
Petrol subsidy: NLC to embark on nationwide strike Wednesday,,"Jun 02, 2023",The Nigeria Labour Congress (NLC) has declared a nationwide strike starting next week Wednesday with regards to petrol subsidy removal...
"Tinubu appoints Gbajabiamila Chief of Staff, Akume, SGF",,"Jun 02, 2023","In a move that comes as no surprise to political observers, President Bola Ahmed Tinubu has today announced the appointment..."
